MENU_ID	LVL	NAME	PATH
TMS	1	TMS
SIM	2	간편 오더
ordSimSearch	3	간편 오더 조회	order/door/simple/ordSimSearch
ordSimRequest	3	간편 오더 등록	order/door/simple/ordSimRequest
EO	2	수출 오더
EO_100010	3	수출오더조회	order/door/export/orderSearch
EO_100030	3	수출오더등록	order/door/export/orderRequest
EO_100040	3	고객사 수출 오더 조회	order/door/export/orderSearchMgt
EO_100020	3	고객사 수출 오더 상세	order/door/export/orderRequestMgt
IO	2	수입 오더
IO_100010	3	수입오더조회	order/door/import/orderSearch
IO_100030	3	수입오더등록	order/door/import/orderRequest
IO_100020	3	고객사 수입 오더 조회	order/door/import/orderSearchMgt
IO_100040	3	고객사 수입 오더 상세	order/door/import/orderRequestMgt
TM	2	배차 관리
TM_100010	3	배차 현황 조회	allocation/door/alloStatusSearch
TM_100030	3	차량 할당 (수출)	allocation/door/allocationTruck
TM_100020	3	차량 할당 (수입)	allocation/door/allocationTruckImport
TM_100012	3	직접 배차 및 코피노	allocation/door/directAlloAndCopino
TM_1000013	3	도어배차	allocation/door/directAlloAndCopinoV2
SO	2	셔틀 오더
SO_110000	3	셔틀오더 등록 및 조회	order/shuttle/orderRequestMgt
SO_120000	3	셔틀배차	allocation/shuttle/allocationTruck
ShutTotalOutputMgt	3	실적통합관리(셔틀)	outputs/shutTotalOutputMgt
GroupOrderRegist	3	그룹오더생성	allocation/shuttle/GroupOrderRegist
GroupOrderAllocation	3	그룹오더배차	allocation/shuttle/GroupOrderAllocation
GroupOrderStatus	3	그룹오더 진행상태 및 변경	allocation/shuttle/GroupOrderStatus
shuttleOrderClosingList	3	셔틀 Daily Closing List	order/shuttle/orderClosingList
BndCntrMgt	3	전배보세 등록	order/shuttle/BndCntrMgt
OP	2	실적관리
OP_100020	3	통합 오더 조회	order/door/total/orderSearchMgt
OP_100010	3	실적통합관리	outputs/totalOutputMgt
OP_110010	3	거래처별 청구집계	outputs/billingTot/billTotByAcc
PayApprMgt	3	하불승인	outputs/payApprMgt
OP_120000	3	하불집계
OP_120010	4	매입처현황	outputs/payTot/payCorpStatus
OP_120020	4	차량별 정산서	outputs/payTot/stateOfAccByVehicle
OP_130000	3	경영정보
OP_130010	4	차량매출	outputs/management/vhcSales
OP_130020	4	손익현황	outputs/management/profitNLossStat
OP_130050	4	오더접수현황	outputs/management/orderRecvSt
OP_130060	4	용차사 매출입현황	outputs/management/hiredCarCorpBillPaySt
OP_130070	4	차량별 지급 공제관리	outputs/management/vhcPayDdcMgt
OP_130080	4	차량별 운행실적 (배차형평성)	outputs/management/vhcTrcStat
OP_130090	4	실시간 차량 매출 현황	outputs/management/rtVhcRevSt
OP_140000	3	통계
OP_140010	4	월별&업체별 매출현황	outputs/statistics/monNCorpBillSt
OP_140020	4	월별&업체별 실적현황	outputs/statistics/monNCorpPFMSt
OP_140040	4	기간별&업체별 하불현황	outputs/statistics/termNCorpPaySt
OP_140080	4	청구처별 미수현황	outputs/statistics/billCorpByUnpaidSt
OP_140090	4	점소별 영업이익 현황	outputs/statistics/pointByPFMSt
OP_140110	4	영업담당자별 매출현황	outputs/statistics/opPicByBillSt
OP_140120	4	영업사원 실적현황	outputs/statistics/opPicPFMSt
OP_140130	4	(영업) 월별&업체별 실적현황	outputs/statistics/opMonNCorpPFMSt
OP_140140	4	(영업) 영업사원 실적현황	outputs/statistics/opOpPicPFMSt
monPointSt	3	당월 포인트 현황	outputs/monPointSt
SM	2	정산관리
